id,group_id,name,name_kana,mvp,zissen_man_player_id,zissen_man_rank_group,zissen_man_rank_lastyear,zissen_man_rank_total,zissen_man_comment,hokei_man_player_id,hokei_man_rank_group,hokei_man_rank_lastyear,hokei_man_rank_total,hokei_man_comment,zissen_woman_player_id,zissen_woman_rank_group,zissen_woman_rank_lastyear,zissen_woman_rank_total,zissen_woman_comment,hokei_woman_player_id,hokei_woman_rank_group,hokei_woman_rank_lastyear,hokei_woman_rank_total,hokei_woman_comment
87,10,荻原英里奈,オギハラエリナ,,,,,,,,,,,,6,1,,,R8 千葉県大会個人実戦4位,,,,,
88,10,鈴木ひなの,スズキヒナノ,,,,,,,,,,,,,,,,,,,,,
89,10,土屋理緒,ツチヤリオ,,,,,,,,,,,,,,,,,12,1,,5,R6 学生大会個人法形4位
90,10,笠原雷清,カサハラライセイ,,8,2,,,,,,,,,,,,,,,,,,
91,10,堺屋雄堂,サカイヤユウドウ,,,,,,,,,,,,,,,,,,,,,
92,10,勝屋暁斗,カツヤアキト,,,,,,,,,,,,,,,,,,,,,
93,10,小林遼弥,コバヤシハルヤ,,,,,,,,,,,,,,,,,,,,,
94,10,北條煌大,ホウジョウコウタ,,,,,,,14,3,,,,,,,,,,,,,
95,10,山田優斗,ヤマダユウト,,,,,,,,,,,,,,,,,,,,,
96,10,齊藤琴音,サイトウコトネ,,,,,,,,,,,,,,,,,13,2,,,
97,10,佐野歩果,サノアユカ,,,,,,,,,,,,,,,,,,,,,
98,10,畑凜,ハタリン,,,,,,,,,,,,7,3,,,,,,,,
99,10,藤村ねね,フジムラネネ,,,,,,,,,,,,,,,,,,,,,
100,10,大内蓮,オオウチレン,,,,,,,,,,,,,,,,,,,,,
101,10,西村柊哉,ニシムラシュウヤ,,,,,,,,,,,,,,,,,,,,,
102,10,渡邊晄大,ワタナベコウダイ,,,,,,,,,,,,,,,,,,,,,
103,10,中野澄加,ナカノスミカ,,,,,,,,,,,,,,,,,,,,,
104,10,三鴨明弥,ミカモアカネ,,,,,,,,,,,,,,,,,14,3,,,
105,10,宮元茉優,ミヤモトマヒロ,,,,,,,,,,,,,,,,,,,,,
106,10,山下みらい,ヤマシタミライ,,,,,,,,,,,,,,,,,,,,,
107,10,中山膳,ナカヤマゼン,,9,3,,,R4 東北地区躰道優勝大会 男子実戦優勝、 R5 全国高校生躰道優勝大会 男子個人実戦3位,,,,,,,,,,,,,,,
108,10,鵜飼泰成,ウカイタイセイ,,,,,,,,,,,,,,,,,,,,,
109,10,大竹翔太,オオダケショウタ,,,,,,,,,,,,,,,,,,,,,
110,10,品田爽太,シナダソウタ,,,,,,,,,,,,,,,,,,,,,
111,10,関川大惺,セキカワタイセイ,,,,,,,,,,,,,,,,,,,,,
112,10,舘脇優介,タテワキユウスケ,,,,,,,,,,,,,,,,,,,,,
113,10,日比野佑海,ヒビノユウ,,,,,,,,,,,,,,,,,,,,,
114,10,宮本士鋭,ミヤモトシエイ,,,,,,,,,,,,,,,,,,,,,
115,10,村田将隆,ムラタマサタカ,,,,,,,,,,,,,,,,,,,,,
116,10,丹下紗楽,タンゲサラ,,,,,,,,,,,,,,,,,,,,,
117,10,冨永朋希,トミナガホマレ,,,,,,,,,,,,,,,,,,,,,
118,10,前川小春,マエカワコハル,,,,,,,,,,,,,,,,,,,,,
119,10,吉田芽梨杏,ヨシダメリア,,,,,,,,,,,,,,,,,,,,,
120,11,小原将宜,コハラマサヨシ,,10,1,,,,15,1,,,,,,,,,,,,,
121,11,小宮山開斗,コミヤマカイト,,11,2,,,,,,,,,,,,,,,,,,
122,11,田中豪一,タナカゴウイチ,,,,,,,16,2,,,,,,,,,,,,,
123,11,三田涼介,ミタリョウスケ,,12,3,,,,,,,,,,,,,,,,,,
124,11,増田怜,マスダレン,,,,,,,17,3,,,,,,,,,,,,,
125,12,鷲見将太郎,ワシミショウタロウ,,13,1,,2,R8 城南大会個人実戦4位,,,,,,,,,,,,,,,
126,12,林淳之介,ハヤシジュンノスケ,,14,2,,,,,,,,,,,,,,,,,,
127,12,當麻武智,トウマタケチ,,15,3,,,,,,,,,,,,,,,,,,
128,12,小林雅偉,コバヤシガイ,,,,,,,18,,3,3,R7 学生大会個人法形 3位,,,,,,,,,,
129,12,加納蓮馬,カノウレンマ,,,,,,,19,,2,2,R7 学生大会個人法形 準優勝,,,,,,,,,,
130,12,齋藤凜ノ助,サイトウリンノスケ,,,,,,,20,1,,,,,,,,,,,,,
131,12,松香宏征,マツカコウセイ,,,,,,,21,2,,,,,,,,,,,,,
132,12,大植湘太,オオウエショウタ,,,,,,,22,3,,,,,,,,,,,,,
133,12,花澤栞奈,ハナザワカンナ,,,,,,,,,,,,8,1,,,,,,,,
134,12,小林樹里,コバヤシジュリ,,,,,,,,,,,,9,2,,,,,,,,
